"","n_layers","hidden_layers_size","batch_size","learning_rate","validation_loss","mee"
"72",5,500,915,0.001,1.25109004958182,1.16300845556002
"69",5,500,128,1e-04,1.27086355763396,1.19724732710054
"67",5,500,64,1e-04,1.28708729484176,1.17645646899914
"61",3,500,64,1e-04,1.29738235023137,1.21462046973848
"49",3,50,64,1e-04,1.31277908156998,1.24621299402333
"66",3,500,915,0.001,1.32131669750754,1.23207133417784
"40",2,100,128,0.001,1.33099917577177,1.22895382020929
"60",3,100,915,0.001,1.33893630030507,1.24934453311154
"20",1,500,64,0.001,1.34448835777982,1.24157125910895
"68",5,500,64,0.001,1.35571892449871,1.15707406428442
"55",3,100,64,1e-04,1.36295191031261,1.25585177114731
"54",3,50,915,0.001,1.37357465643529,1.27405236244861
"8",1,50,64,0.001,1.38104423732773,1.26651495655119
"34",2,50,128,0.001,1.38193041070142,1.26509184821311
"63",3,500,128,1e-04,1.38455075965723,1.28569252536792
"70",5,500,128,0.001,1.38657608464374,1.18544280969961
"64",3,500,128,0.001,1.39167530996641,1.23079204035073
"14",1,100,64,0.001,1.39445587018483,1.2845933179667
"16",1,100,128,0.001,1.40424492141369,1.28971463229462
"22",1,500,128,0.001,1.40752167540864,1.27777846333981
"62",3,500,64,0.001,1.40938763676851,1.23203561555838
"37",2,100,64,1e-04,1.40990527298717,1.30385020727321
"46",3,10,128,0.001,1.41954038961161,1.26481241049058
"57",3,100,128,1e-04,1.4298397161082,1.31976511636824
"42",2,100,915,0.001,1.4441817961142,1.33064136809689
"32",2,50,64,0.001,1.44847002427155,1.29121547917833
"28",2,10,128,0.001,1.45305004543331,1.30317391769261
"10",1,50,128,0.001,1.46530468180984,1.32626623337375
"51",3,50,128,1e-04,1.46793877647106,1.34488245815375
"36",2,50,915,0.001,1.48565900641266,1.3518614771962
"38",2,100,64,0.001,1.48569884503885,1.31386613495146
"43",3,10,64,1e-04,1.50335054557102,1.34470691761741
"26",2,10,64,0.001,1.52198944401583,1.31600309264138
"44",3,10,64,0.001,1.52490165772245,1.29936751010436
"48",3,10,915,0.001,1.52524996102115,1.35821972309999
"58",3,100,128,0.001,1.52610369196736,1.29131567383967
"31",2,50,64,1e-04,1.53058562599198,1.36980789710143
"56",3,100,64,0.001,1.55131218436212,1.30204157821322
"52",3,50,128,0.001,1.557403179109,1.29839304792894
"4",1,10,128,0.001,1.58232707104405,1.40025741721389
"30",2,10,915,0.001,1.61046731859175,1.41580645093758
"33",2,50,128,1e-04,1.62818738537957,1.43935880897739
"39",2,100,128,1e-04,1.6495053586873,1.44870222127781
"25",2,10,64,1e-04,1.69039206302167,1.47882884625701
"2",1,10,64,0.001,1.69255251784741,1.44107692183347
"45",3,10,128,1e-04,1.69812314482941,1.46331226193043
"71",5,500,915,1e-04,1.73257501580619,1.50044166825858
"50",3,50,64,0.001,1.74274493269613,1.36473839053168
"19",1,500,64,1e-04,1.7783732854178,1.51322401997252
"18",1,100,915,0.001,1.80152763930479,1.53021909850633
"13",1,100,64,1e-04,1.8289694005721,1.54383867189015
"24",1,500,915,0.001,1.84146164281865,1.54736453178691
"27",2,10,128,1e-04,1.85362730231466,1.56176569511109
"7",1,50,64,1e-04,1.86278400852584,1.56206174668524
"12",1,50,915,0.001,1.9743793753351,1.61251151916989
"1",1,10,64,1e-04,2.05067126213523,1.6525082451513
"6",1,10,915,0.001,2.1291077707702,1.6972108526967
"21",1,500,128,1e-04,2.14740781015026,1.68650133649762
"15",1,100,128,1e-04,2.17844986914767,1.70357729362708
"65",3,500,915,1e-04,2.26425354434782,1.73386923654705
"3",1,10,128,1e-04,2.27808934600047,1.75232512356142
"9",1,50,128,1e-04,2.27845048354761,1.73932826693243
"53",3,50,915,1e-04,2.48173043037745,1.82365483125687
"59",3,100,915,1e-04,2.49741297012593,1.82546398483224
"47",3,10,915,1e-04,2.68786446510278,1.91750710250619
"41",2,100,915,1e-04,2.98370103256752,1.98680523576943
"29",2,10,915,1e-04,3.15248183310253,2.08436171824607
"35",2,50,915,1e-04,3.1810532536568,2.06323002252555
"23",1,500,915,1e-04,3.91135724245123,2.27628035909094
"17",1,100,915,1e-04,4.02481897948184,2.30165654296964
"11",1,50,915,1e-04,4.06370651406118,2.32524983387464
"5",1,10,915,1e-04,4.19474589256185,2.38147478141551
